account_type_cd,Sec_Uns,Reg_Com,Sec_Mov,Pdt_Cls
001,S,R,I,AL
002,S,R,I,HL
005,U,R,,CC
013,U,R,,TW
047,S,R,M,AL
058,S,R,M,HL
121,U,R,,CC
123,U,R,,PL
130,U,R,,PL
167,U,C,,AG
172,U,R,,PL
173,U,R,,TW
175,S,C,M,CS
176,U,C,,CU
177,U,C,,AG
178,U,C,,AG
179,U,C,,AG
189,U,R,,CD
191,U,R,,GL
195,U,R,,PL
196,U,R,,PL
198,U,C,,AG
199,U,C,,AG
200,U,C,,AG
207,U,R,,OT
210,U,R,,OT
213,U,R,,CC
214,U,R,,CC
215,U,R,,PL
216,U,R,,PL
217,U,R,,PL
219,U,R,,PL
220,U,R,,CC
221,U,R,,PL
222,U,R,,PL
223,U,C,,AG
224,U,C,,AG
225,U,R,,CC
226,U,C,,AG
227,U,C,,AG
228,U,C,,CU
240,U,R,,PL
241,S,C,M,CS
242,U,R,,PL
243,U,R,,GL
244,U,R,,PL
245,U,R,,PL
246,U,R,,PL
247,U,R,,PL
248,U,R,,PL
249,U,R,,PL
007,S,R,M,GL
003,S,R,I,HL
004,S,R,M,AL
006,U,R,,OT
008,U,R,,OT
009,U,R,,OT
010,U,R,,OT
011,U,R,,OT
012,U,R,,OT
